you speak	vous parlez	
You speak too fast for me.	Vous parlez trop vite pour moi.	
you go / you are going	vous allez	
You are going too fast for me.	Vous allez trop vite pour moi.	
It is so good.	C’est si bon.	
if it is so good...	si c’est si bon...	
I would like to know if it is so good.	Je voudrais savoir si c’est si bon.	
Why?	Pourquoi?	
I would like to know why it is so good.	Je voudrais savoir pourquoi c’est si bon.	
I would like to know where you are going.	Je voudrais savoir où vous allez.	
I would like to know where you are going to have dinner tonight.	Je voudrais savoir où vous allez dîner ce soir.	
port / harbour	port	
airport	aéroport	
the door	la porte	
bag	sac	
white wine	vin blanc	
a glass	un verre	
a glass of white wine	un verre de vin blanc	
I would like a glass of white wine.	Je voudrais un verre de vin blanc.	
bottle	bouteille	
I would like a bottle.	Je voudrais une bouteille.	
I would like a bottle of white wine.	Je voudrais une bouteille de vin blanc.	
water	eau	
I would like a glass of water.	Je voudrais un verre d’eau.	
I would like a glass of mineral water.	Je voudrais un verre d’eau minérale.	
normal	normal	
normally	normalement	
general	général	
generally	généralement	
animal	animal	
special	spécial	
It is very special.	C’est très special.	
specially for you	spécialement pour vous	
cup	tasse	
I would like a cup of coffee.	Je voudrais une tasse de café.	
still / still more	encore	
a little	un peu	
I would like a little...	Je voudrais un peu...	
later	plus tard	
more	plus	
Will you come later?	Voulez-vous venir plus tard?	
a little later	un peu plus tard	
Will you come a little later?	Voulez-vous venir un peu plus tard?	
now	maintenant	
not now	pas maintenant	
possibly	possiblement	
not now, possibly a little later	pas maintenant, possiblement un peu plus tard	
other	autre	
the other thing	l’autre chose	
another thing	une autre chose	
something else	autre chose	
I would like something else.	Je voudrais autre chose.	
to see	voir	
bye bye	au revoir	
to see again	revoir	
I would like to see something else.	Je voudrais voir autre chose.	
Do you have something else?	Avez-vous autre chose?	
Do you want something else?	Voulez-vous autre chose?	
Do you want to see something else?	Voulez-vous voir autre chose?	
to have	avoir	
I would like to have something else.	Je voudrais avoir autre chose.	
another glass (one more)	encore un verre	
I would like another bottle of white wine.	Je voudrais encore une bouteille de vin blanc.	
I would like another cup of coffee.	Je voudrais encore une tasse de café.	
I would like another glass of mineral water.	Je voudrais encore un verre d’eau minérale.	
beef	boeuf	
to sleep	dormir	
to comprehend / to understand	comprendre	
I must...	Je dois...	
I must speak with you.	Je dois parler avec vous.	
I must know where it is.	Je dois savoir où c’est.	
I am...	Je suis...	
I am tired.	Je suis fatigué.	
I am very tired now.	Je suis très fatigué maintenant.	
busy	occupé	
I am very busy now.	Je suis très occupé maintenant.	
I can	je peux	
I can a little	je peux un peu	
I cannot.	Je ne peux pas.	
I am not.	Je ne suis pas.	
I am not tired now.	Je ne suis pas fatigué maintenant.	
But I am not very busy now.	Mais je ne suis pas très occupé maintenant.	
to wait	attendre	
because	parce que	
I’m sorry but I cannot wait because I have to leave now.	Je regrette mais je ne peux pas attendre parce que je dois partir maintenant.	
I’m (really) sorry.	Je suis désolé.	
I’m sorry but I cannot come with you now because I am very busy.	Je regrette mais je ne peux pas venir avec vous maintenant parce que je suis très occupé.	
I would like to speak with you.	Je voudrais parler avec vous.	
I have to speak with you.	Je dois parler avec vous.	
Do you speak? / Are you speaking?	Parlez-vous?	
Do you speak French?	Parlez-vous français?	
Do you go? / Are you going?	Allez-vous?	
Where are you going?	Où allez-vous?	
Where are you going to have dinner tonight?	Où allez-vous dîner ce soir?	
you leave / you are leaving	vous partez	
At what time?	À quelle heure?	
At what time are you leaving?	À quelle heure partez-vous?	
to stay	rester	
you are staying	vous restez	
I am staying	je reste	
he is staying	il reste	
she is staying	elle reste	
My friend is staying.	Mon ami reste.	
everybody	tout le monde	
Everybody is staying.	Tout le monde reste.	
I’m not staying.	Je ne reste pas.	
I don’t stay.	Je ne reste pas.	
I am busy.	Je suis occupé.	
I am not busy now.	Je ne suis pas occupé maintenant.	
ready	prêt	
ready to wear	prêt-à-porter	
ready to eat	prêt-à-manger	
I am ready. (masculine)	Je suis prêt.	
I am ready. (feminine)	Je suis prête.	
He is ready.	Il est prêt.	
She is ready.	Elle est prête.	
I am eating	je mange	
I am speaking	je parle	
Do you speak?	Parlez-vous?	
Are you speaking?	Parlez-vous?	
you wait	vous attendez	
Wait!	Attendez!	
Wait a moment!	Attendez un moment!	
You are not waiting.	Vous n’attendez pas.	
You don’t wait.	Vous n’attendez pas.	
Why do you wait?	Pourquoi attendez-vous?	
Why are you waiting?	Pourquoi attendez-vous?	
we are leaving	nous partons	
with us	avec nous	
we are waiting	nous attendons	
we speak	nous parlons	
to start	commencer	
you are starting	vous commencez	
we are starting	nous commençons	
At what time are you starting?	À quelle heure commencez-vous?	
At what time do you start?	À quelle heure commencez-vous?	
At what time do we start tomorrow?	À quelle heure commençons-nous demain?	
tomorrow	demain	
At what time are we starting tomorrow?	À quelle heure commençons-nous demain?	
I am starting	je commence	
I am not starting.	Je ne commence pas.	
he is starting	il commence	
she is starting	elle commence	
She is not starting.	Elle ne commence pas.	
She doesn’t start.	Elle ne commence pas.	
It starts.	Ça commence.	
It is ready.	C’est prêt.	
It is starting.	Ça commence.	
It is very important.	C’est très important.	
It is very different.	C’est très différent.	
It is not necessary.	Ce n’est pas nécessaire.	
It is not ready.	Ce n’est pas prêt.	
It is not starting.	Ça ne commence pas.	
It doesn’t start.	Ça ne commence pas.	
he can	il peut	
she can	elle peut	
It can start now.	Ça peut commencer maintenant.	
It must start now.	Ça doit commencer maintenant.	
It cannot start.	Ça ne peut pas commencer.	
At what time do you arrive tomorrow?	À quelle heure arrivez-vous demain?	
to arrive	arriver	
At what time are you arriving?	À quelle heure arrivez-vous?	
At what time do we arrive in Paris tomorrow morning?	À quelle heure arrivons-nous à Paris demain matin?	
morning	matin	
to spend the whole morning	passer la matinée	
this evening	ce soir	
to spend the whole evening	passer la soirée	
good day	bonjour	
day	jour	
to spend the whole day	passer la journée	
in / to (for cities)	à	
in Paris / to Paris	à Paris	
in / to France	en France	
in / to England	en Angleterre	
in London / to London	à Londres	
I am arriving	j’arrive	
he is arriving	il arrive	
she is arriving	elle arrive	
soon	bientôt	
so long (until soon)	à bientôt	
She is arriving soon.	Elle arrive bientôt.	
today	aujourd’hui	
the restaurant	le restaurant	
at / to the restaurant	au restaurant	
the office	le bureau	
I am at the office.	Je suis au bureau.	
not today	pas aujourd’hui	
to be	être	
here	ici	
I would like to be here with you.	Je voudrais être ici avec vous.	
At what time are you going to be here?	À quelle heure allez-vous être ici?	
I have	j’ai	
I have something for you.	J’ai quelque chose pour vous.	
I have a message for you.	J’ai un message pour vous.	
he has	il a	
He has something for you.	Il a quelque chose pour vous.	
I don’t have	je n’ai pas	
he doesn’t have	il n’a pas	
hunger	faim	
I am hungry.	J’ai faim.	
I would like to eat something now because I’m hungry.	Je voudrais manger quelque chose maintenant parce que j’ai faim.	
I’m going	je vais	
I’m going to stay here.	Je vais rester ici.	
I’m going to leave soon.	Je vais partir bientôt.	
I’m not going to stay.	Je ne vais pas rester.	
I’m going to eat.	Je vais manger.	
I’m going to start soon.	Je vais commencer bientôt.	
I’m not going to leave today.	Je ne vais pas partir aujourd’hui.	
he is going	il va	
He is going to start soon.	Il va commencer bientôt.	
there	là	
He is there.	Il est là.	
He is not there.	Il n’est pas là.	
He is not in.	Il n’est pas là.	
Who?	Qui?	
Who is there?	Qui est là?	
My friend is there.	Mon ami est là.	
Everybody is there.	Tout le monde est là.	
nobody	personne	
the person	la personne	
a person	une personne	
Nobody is in. / Nobody is there.	Personne est là.	
Everybody is ready.	Tout le monde est prêt.	
I’m going to be ready soon.	Je vais être prêt bientôt.	
He is going to be ready soon.	Il va être prêt bientôt.	
She is going to be ready soon.	Elle va être prête bientôt.	
Who is going to be there tonight?	Qui va être là ce soir?	
all / everything	tout	
everything is going	tout va	
Everything is going very well.	Tout va très bien.	
well	bien	
nothing	rien	
nothing is going	rien va	
Nothing is going to be ready today.	Rien va être prêt aujourd’hui.	
Nothing is ready.	Rien est prêt.	
Who is ready?	Qui est prêt?	
Nobody is ready.	Personne est prêt.	
Everything is ready.	Tout est prêt.	
Everybody is going to be ready soon.	Tout le monde va être prêt bientôt.	
it is going	ça va	
How?	Comment?	
How is it going?	Comment ça va?	
It is going well.	Ça va bien.	
It is going very well.	Ça va très bien.	
It is going very well the way it is (like that).	Ça va très bien comme ça.	
It is going to be ready soon.	Ça va être prêt bientôt.	
we are going	nous allons	
it is not going	ça ne va pas	
It is not going to be ready today	Ça ne va pas être prêt aujourd’hui	
but everything is going to be ready for you tomorrow.	mais tout va être prêt pour vous demain.	
it can	ça peut	
Everybody would like to be here.	Tout le monde voudrait être ici.	
Everybody must leave soon.	Tout le monde doit partir bientôt.	
Who speaks English here?	Qui parle français ici?	
I speak	je parle	
to understand	comprendre	
I understand	je comprends	
I don’t understand.	Je ne comprends pas.	
he understands	il comprend	
Nobody understands.	Personne comprend.	
Everybody understands very well.	Tout le monde comprend très bien.	
you are leaving	vous partez	
I am leaving	je pars	
Everybody is leaving.	Tout le monde part.	
I’m waiting	j’attends	
Everybody is waiting.	Tout le monde attend.	
Nobody is waiting.	Personne attend.	
to take	prendre	
I am taking	je prends	
he is taking	il prend	
It is taking too much time.	Ça prend trop de temps.	
It doesn’t take too much time.	Ça ne prend pas trop de temps.	
It is not taking too much time.	Ça ne prend pas trop de temps.	
to sell	vendre	
I’m selling	je vends	
he is selling	il vend	
Everybody can start now.	Tout le monde peut commencer maintenant.	
Everybody must start now.	Tout le monde doit commencer maintenant.	
Will you come have dinner with me at the house tonight because I would like to speak with you.	Voulez-vous venir dîner avec moi à la maison ce soir parce que je voudrais parler avec vous.	
And I would like to know...	Et je voudrais savoir...	
...at what time you are going	...à quelle heure vous allez	
to be here...	être ici...	
...because I’m going to	prepare the dinner for us.	
...parce que je vais préparer	le dîner pour nous.	
formation	formation	
to form	former	
to conform	conformer	
to confirm	confirmer	
Will you confirm the reservation for me?	Voulez-vous confirmer la réservation pour moi?	
to observe	observer	
observation	observation	
to reserve	réserver	
Will you reserve a table for two for dinner for tonight?	Voulez-vous réserver une table pour deux pour dîner pour ce soir?	
to invite	inviter	
to consider	considérer	
to accept	accepter	
Will you accept the condition?	Voulez-vous accepter la condition?	
to prefer	préférer	
you prefer	vous préférez	
we prefer	nous préférons	
I prefer	je préfère	
He must be here soon.	Il doit être ici bientôt.	
She must be ready now.	Elle doit être prête maintenant.	
He must be ready.	Il doit être prêt.	
It must be ready now.	Ça doit être prêt maintenant.	
It can be ready.	Ça peut être prêt.	
perhaps	peut-être	
Perhaps it can be ready now.	Peut-être ça peut être prêt maintenant.	
I do / I’m doing	je fais	
he is doing	il fait	
It makes a big difference that way.	Ça fait une grande différence comme ça.	
to say / to tell	dire	
I say / I tell	je dis	
he says / he tells	il dit	
I see	je vois	
he sees	il voit	
you know	vous savez	
we know	nous savons	
We don’t know.	Nous ne savons pas.	
You don’t know.	Vous ne savez pas.	
Do you know?	Savez-vous?	
Do you know where it is?	Savez-vous où c’est?	
I know	je sais	
I don’t know.	Je ne sais pas.	
he knows	il sait	
I know where it is.	Je sais où c’est.	
Nobody knows where it is.	Personne sait où c’est.	
Everybody knows where it is.	Tout le monde sait où c’est.	
Who knows?	Qui sait?	
you have	vous avez	
we have	nous avons	
we don’t have	nous n’avons pas	
you don’t have	vous n’avez pas	
Do you have?	Avez-vous?	
Do we have?	Avons-nous?	
to have to / must	devoir	
you must / you have to	vous devez	
we must / we have to	nous devons	
We have to leave soon.	Nous devons partir bientôt.	
You have to come with me.	Vous devez venir avec moi.	
You have to wait.	Vous devez attendre.	
He has to wait.	Il doit attendre.	
I’m going to wait here.	Je vais attendre ici.	
Everybody is going to wait.	Tout le monde va attendre.	
Nobody can wait.	Personne peut attendre.	
Can you?	Pouvez-vous?	
you can	vous pouvez	
I would like to know if you	can come with me.	
Je voudrais savoir si vous pouvez	venir avec moi.	
Can you wait here?	Pouvez-vous attendre ici?	
we can	nous pouvons	
We cannot wait. We have to leave now.	Nous ne pouvons pas attendre. Nous devons partir maintenant.	
she is going	elle va	
everybody is going	tout le monde va	
Who is going?	Qui va?	
to do it	le faire	
I would like to do it.	Je voudrais le faire.	
I must do it.	Je dois le faire.	
I’m going to do it.	Je vais le faire.	
I’m not going to do it.	Je ne vais pas le faire.	
We’re going to do it.	Nous allons le faire.	
We’re not going to do it.	Nous n’allons pas le faire.	
You’re going to do it.	Vous allez le faire.	
You are not going to do it.	Vous n’allez pas le faire.	
When?	Quand?	
When are you going to do it?	Quand allez-vous le faire?	
He is going to do it.	Il va le faire.	
He is not going to do it	because he cannot do it but	
he must do it.	Il ne va pas le faire parce qu’il	
ne peut pas le faire mais il	doit le faire.	
You have to do it.	Vous devez le faire.	
We have to/must to do it.	Nous devons le faire.	
I cannot do it now.	Je ne peux pas le faire maintenant.	
Can you do it?	Pouvez-vous le faire?	
We cannot do it.	Nous ne pouvons pas le faire.	
to see it	le voir	
to see him	le voir	
I’m going to see it tonight.	Je vais le voir ce soir.	
I’m going to see him tonight.	Je vais le voir ce soir.	
I cannot understand it.	Je ne peux pas le comprendre.	
I cannot understand him.	Je ne peux pas le comprendre.	
I’m going to take it.	Je vais le prendre.	
I would like to know it.	Je voudrais le savoir.	
I must know it.	Je dois le savoir.	
I would like to have it.	Je voudrais l’avoir.	
I must have it today.	Je dois l’avoir aujourd’hui.	
When do you want to have it?	Quand voulez-vous l’avoir?	
to buy	acheter	
I would like to buy it because I must have it.	Je voudrais l’acheter parce que je dois l’avoir.	
I’m going to buy it.	Je vais l’acheter.	
Will you prepare it for me?	Voulez-vous le préparer pour moi?	
thank you very much	merci beaucoup	
much / very much / many	beaucoup	
I would like very much to accept the condition...	Je voudrais beaucoup accepter la condition...	
...but I’m sorry...	...mais je suis désolé / je regrette...	
...but I cannot accept it...	...mais je ne peux pas l’accepter...	
...because it is not acceptable for me that way.	...parce que ce n’est pas acceptable pour moi comme ça.	
her	la	
to see her	la voir	
I’m going to see her tonight.	Je vais la voir ce soir.	
them	les	
I’m going to see them tonight.	Je vais les voir ce soir.	
to see you	vous voir	
I would like to see you.	Je voudrais vous voir.	
I’m going to see you tonight.	Je vais vous voir ce soir.	
I hope	j’espère	
I hope [that] I’m going to see you tonight...	J’espère que je vais vous voir ce soir...	
...because I would like very much to see you.	...parce que je voudrais beaucoup vous voir.	
to see us	nous voir	
to see me	me voir	
Can you come see me?	Pouvez-vous venir me voir?	
to understand it	le comprendre	
to understand him	le comprendre	
to understand her	la comprendre	
to understand them	les comprendre	
to understand you	vous comprendre	
I cannot understand you.	Je ne peux pas vous comprendre.	
to understand us	nous comprendre	
to understand me	me comprendre	
Can you understand me?	Pouvez-vous me comprendre?	
to tell it	le dire	
to tell you	vous dire	
to tell us	nous dire	
to tell me	me dire	
I must tell you.	Je dois vous dire.	
I’m going to tell you later.	Je vais vous dire plus tard.	
to find	trouver	
we find	nous trouvons	
I find	je trouve	
Will you tell me where it is because I cannot find it?	Voulez-vous me dire où c’est parce que je ne peux pas le trouver?	
Can you tell me?	Pouvez-vous me dire?	
dear / expensive	cher	
dear friend	cher ami	
darling	chérie	
It is very expensive.	C’est très cher.	
It is too expensive.	C’est trop cher.	
Will you tell me how much it is...	Voulez-vous me dire combien c’est...	
...because I would like to have it...	...parce que je voudrais l’avoir...	
...and I’m going to buy it...	...et je vais l’acheter...	
...if it is not too expensive	...si ce n’est pas trop cher	
I would like to buy it.	Je voudrais l’acheter.	
to call	appeler	
to phone	téléphoner	
Will you call me later?	Voulez-vous m’appeler plus tard?	
Can you call me later?	Pouvez-vous m’appeler plus tard?	
When can you call me?	Quand pouvez-vous m’appeler?	
When are you going to call me?	Quand allez-vous m’appeler?	
I’m going to call you later.	Je vais vous appeler plus tard.	
Will you call me later...	Voulez-vous m’appeler plus tard...	
...and can you tell me...	...et pouvez-vous me dire...	
...at what time it is going to be ready	...à quelle heure ça va être prêt	
I have to have it today...	Je dois l’avoir aujourd’hui...	
...if it is possible	...si c’est possible	
Will you wait for me?	Voulez-vous m’attendre?	
Can you wait for me?	Pouvez-vous m’attendre?	
I’m going to wait for you.	Je vais vous attendre.	
I am in a hurry.	Je suis pressé.	
I’m sorry but I cannot wait for you because I am very much in a hurry and I have to leave soon.	Je regrette mais je ne peux pas vous attendre parce que je suis très pressé et je dois partir bientôt.	
him (to him)	lui	
to carry	porter	
to wear	porter	
to bring	apporter	
I’m going to bring you something.	Je vais vous apporter quelque chose.	
the book	le livre	
I’m going to bring you the book.	Je vais vous apporter le livre.	
to send	envoyer	
I’m going to send him the book.	Je vais lui envoyer le livre.	
Will you send it to him?	Voulez-vous le lui envoyer?	
When can you send it to him?	Quand pouvez-vous le lui envoyer?	
I’m going to see him tonight and I’m going to give him the book.	Je vais le voir ce soir et je vais lui donner le livre.	
her (to her)	lui	
I’m going to see her tonight and I’m going to give her the book.	Je vais la voir ce soir et je vais lui donner le livre.	
To whom?	À qui?	
It is for us.	C’est pour nous.	
It is for him.	C’est pour lui.	
for her	pour elle	
with him	avec lui	
with her	avec elle	
I’m going to give it to him.	Je vais le donner à lui.	
I’m going to give it to her.	Je vais le donner à elle.	
I’m going to bring him the book.	Je vais lui apporter le livre.	
I’m going to bring her the book.	Je vais lui apporter le livre.	
I’m going to bring the book to him.	Je vais apporter le livre à lui.	
I’m going to bring the book to her.	Je vais apporter le livre à elle.	
them (implying ‘to them’)	leur	
the money	l’argent	
silver	argent	
I’m going to send them the money.	Je vais leur envoyer l’argent.	
my father	mon père	
my mother	ma mère	
with my father	avec mon père	
with my mother	avec ma mère	
my parents	mes parents	
his father	son père	
his mother	sa mère	
his parents	ses parents	
her father	son père	
her mother	sa mère	
her parents	ses parents	
their father	leur père	
their mother	leur mère	
their parents	leurs parents	
I’m going to bring them their book.	Je vais leur apporter leur livre.	
Will you tell him?	Voulez-vous lui dire?	
Will you tell him that I’m going to call him later?	Voulez-vous lui dire que je vais l’appeler plus tard?	
to ask	demander	
Will you ask him?	Voulez-vous lui demander?	
Will you ask him if he can wait for me?	Voulez-vous lui demander s’il peut m’attendre?	
I don’t have the time.	Je n’ai pas le temps.	
the police	la police	
the army	l’armée (la)	
love	amour (masculine)	
liberty	la liberté	
the difficulty	la difficulté	
the facility	la facilité	
the possibility	la possibilité	
the opportunity	l’opportunité	
the speciality	la spécialité	
What speciality do you have?	Quelle spécialité avez-vous?	
What is the speciality of the house?	Quelle est la spécialité de la maison?	
the quality	la qualité	
What quantity?	Quelle quantité?	
society	société	
to operate	opérer	
to moderate	modérer	
to accelerate	accélérer	
to facilitate	faciliter	
to negotiate	négocier	
to cooperate	coopérer	
to certify	certifier	
to modify	modifier	
to justify	justifier	
problem	problème	
It’s not the problem.	Ce n’est pas le problème.	
It’s not a problem.	Ce n’est pas un problème.	
there is / there are	il y a	
There is a problem.	Il y a un problème.	
someone	quelqu’un	
There’s someone here who would like to speak with you.	Il y a quelqu’un ici qui voudrait parler avec vous.	
Is there...? / Are there...?	Est-ce qu’il y a...?	
Is there a message for me?	Est-ce qu’il y a un message pour moi?	
the messages	les messages	
the books	les livres	
I’m going to buy books/ some books.	Je vais acheter des livres.	
I’m going to buy some flowers/flowers.	Je vais acheter des fleurs.	
There is a message for you.	Il y a un message pour vous.	
There are messages for you.	Il y a des messages pour vous.	
Are there any messages for me?	Il y a des messages pour moi? / Est-ce qu’il y a des messages pour moi?	
Is there someone here who speaks English?	Est-ce qu’il y a quelqu’un ici qui parle anglais?	
There is nobody here who speaks English.	Il n’y a personne ici qui parle anglais.	
none of	pas de	
No coffee for me.	Pas de café pour moi.	
No problem.	Pas de problème.	
No cream for me.	Pas de crème pour moi.	
No sugar for me.	Pas de sucre pour moi.	
Nobody understands why.	Personne comprend pourquoi.	
I understand it.	Je le comprends.	
I don’t understand it.	Je ne le comprends pas.	
true	vrai	
It is true.	C’est vrai.	
It is not true.	Ce n’est pas vrai.	
Is that so?	C’est vrai?	
Ah, truly?	Ah, vraiment?	
I don’t understand him.	Je ne le comprends pas.	
I don’t understand her.	Je ne la comprends pas.	
I don’t understand them.	Je ne les comprends pas.	
I don’t understand you.	Je ne vous comprends pas.	
He doesn’t understand you.	Il ne vous comprend pas.	
He doesn’t understand us.	Il ne nous comprend pas.	
He doesn’t understand me.	Il ne me comprend pas.	
I understand you very well.	Je vous comprends très bien.	
I don’t understand you very well.	Je ne vous comprends pas très bien.	
I don’t understand anything.	Je ne comprends rien.	
I don’t see it.	Je ne le vois pas.	
I don’t see anything.	Je ne vois rien.	
never	jamais	
I never see it.	Je ne le vois jamais.	
I never understand why.	Je ne comprends jamais pourquoi.	
I can never understand.	Je ne peux jamais comprendre.	
I cannot understand anything.	Je ne peux rien comprendre.	
It is not possible to do it.	Ce n’est pas possible de le faire.	
It is not necessary to do it now.	Ce n’est pas nécessaire de le faire maintenant.	
happy	heureux	
She is happy.	Elle est heureuse.	
He is happy.	Il est heureux.	
I am happy.	Je suis heureux.	
I am happy to do it for you.	Je suis heureux de le faire pour vous.	
I am very happy to see you.	Je suis très heureux de vous voir.	
I am very glad to see you.	Je suis très content de vous voir.	
time (sequence of times)	fois	
once	une fois	
twice	deux fois	
three times	trois fois	
the first time	la première fois	
the next time	la prochaine fois	
the last time	la dernière fois	
once more	encore une fois	
I’m going to see it next time.	Je vais le vois la prochaine fois.	
I see it for the first time.	Je le vois pour la première fois.	
I would like to have the opportunity to see it next time.	Je voudrais avoir l’opportunité de le voir la prochaine fois.	
I don’t always have the opportunity to see it.	Je n’ai pas toujours l’occasion de le voir.	
I don’t always have the time to do it.	Je n’ai pas toujours le temps de le faire.	
It is always a pleasure to see it.	C’est toujours un plaisir de le voir.	
I’m taking it.	Je le prends.	
It is taking too much time that way.	Ça prend trop de temps comme ça.	
It is making a big difference that way.	Ça fait une grande différence comme ça.	
I enjoy	ça me fait plaisir	
I’m pleased to see you.	Ça me fait plaisir de vous voir.	
I’m very pleased to see you.	Ça me fait grand plaisir de vous voir.	
I’m sorry but I don’t have the time to do it now because I’m very busy.	Je regrette mais je n’ai pas le temps de le faire maintenant parce que je suis très occupé.	
to decide	décider	
Will you ask him to do it?	Voulez-vous lui demander de le faire?	
Will you tell him to wait for me?	Voulez-vous lui dire de m’attendre?	
Will you ask him to call me later?	Voulez-vous lui demander de m’appeler plus tard?	
